seq,taxID_kaiju,taxID_kraken2,length,true,taxID_SAMOVAR,taxID_SAMOVAR_confidence,sample
Hsap.fna|taxid:9606|-NC_000001.11_1017_1,0,131567,126,9606,131567,0.963994921365964,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1017_2,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1017_3,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1017_4,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1017_5,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1017_6,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1018_0,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1018_1,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1018_2,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1018_3,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1018_4,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1018_5,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1018_6,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1019_0,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1019_1,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1019_2,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1019_3,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1019_4,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1019_5,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1019_6,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_101_0,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_101_1,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_101_2,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_101_3,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_101_4,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_101_5,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_101_6,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1020_0,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1020_1,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1020_2,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1020_3,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1020_4,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1020_5,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1020_6,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1021_0,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1021_1,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1021_2,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1021_3,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1021_4,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1021_5,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1021_6,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1022_0,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1022_1,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1022_2,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1022_3,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1022_4,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1022_5,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1022_6,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1023_0,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1023_1,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1023_2,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1023_3,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1023_4,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1023_5,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1023_6,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1024_0,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1024_1,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1024_2,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1024_3,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1024_4,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1024_5,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1024_6,0,0,126,9606,0,0.0,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1025_0,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1025_1,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1025_2,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
Hsap.fna|taxid:9606|-NC_000001.11_1025_3,0,9606,126,9606,9606,0.999926441404936,1_reprofiled
